Var #,Bucket / Workflow Stage,Variable Name,Data Type,"Representative / Possible Values (Ranges, Constraints & Examples)",Relevant Data Standard(s),CDM Entity,Cardinality,Dependency Type,Data Sensitivity Flag,Confidence in Representative / Possible Values,Confidence this Variable is Collected in the EGFR NSCLC Diagnostic Pathway
1,Bucket 1 - Clinical Context and Administration,Patient identifier (NHS number / MRN),String (coded - NHS number format: 10-digit; MRN format varies),"Format: NHS number = exactly 10 digits (e.g. 9434765919); MRN = institution-defined alphanumeric 6–20 chars.

Constraints / Possible Values
Format: 10-digit numeric string (NHS: e.g. 9434765919) | In public datasets: pseudonymised study IDs (e.g. TCGA-44-2655)",SNOMED CT | HL7 FHIR (structural) | OMOP CDM | NHS Data Dictionary,Patient,1:1 - One identifier per patient record,ALWAYS,PII,High,High
2,Bucket 1 - Clinical Context and Administration,Age at diagnosis,Integer (years) or Float (decimal age at diagnosis),"Type: Integer (years). Range: 0–130 (logical max); clinically expected 40–90 for NSCLC. 

Constraints / Possible Values
Type: integer | Min: 0 | Max: 130 | Typical UK NSCLC range: 65–85 (median ~72; EGFR-mutant subset median ~60–65) | TLHC screening population: 55–74 | Unit: years",SNOMED CT | LOINC | ICD-10 | OMOP CDM | HL7 FHIR (structural) | NHS Data Dictionary,Patient,1:1 - One age-at-diagnosis value per patient,ALWAYS,PII,High,High
3,Bucket 1 - Clinical Context and Administration,Sex,Enum (coded),"Enum. Allowed values: Male | Female | Indeterminate | Not Known. NHS HES coded: 1=Male | 2=Female | 9=Indeterminate (unable to classify biologically) | X=Not known (not recorded).


Constraints / Possible Values
Male / Female / Indeterminate (unable to classify biologically) / Not Known | NHS coded integer: 1=Male / 2=Female / 9=Indeterminate / X=Not known ",SNOMED CT | HL7 FHIR (structural) | OMOP CDM | NHS Data Dictionary | ICD-10,Patient,1:1 - One biological sex value per patient,ALWAYS,PII,High,High
4,Bucket 1 - Clinical Context and Administration,Ethnicity / race,Coded (OMB categories - US; ONS 18-category - UK),"Enum (2-char alphanumeric). NHS first-char codes: A=White British, B=White Irish, C=Other White, D=White+Black Caribbean, H=Indian, J=Pakistani, K=Bangladeshi, L=Other Asian, M=Black Caribbean, N=Black African, Z=Not stated. 

Constraints / Possible Values
Race: White / Black or African American / Asian / Native American / Native Hawaiian or Pacific Islander / Other | Ethnicity: Hispanic or Latino / Not Hispanic or Latino ",SNOMED CT | OMOP CDM | HL7 FHIR (structural) | NHS Data Dictionary | ICD-10,Patient,1:1 - One ethnicity/race record per patient,ALWAYS,PII,High,High
5,Bucket 1 - Clinical Context and Administration,Presenting symptoms (coded),Coded (SNOMED CT) - multi-value,"Multi-value coded set. Each symptom = separate coded entry: cough, dyspnoea, chest pain, haemoptysis, weight loss, appetite loss / anorexia, fatigue, hoarseness, bone pain. Minimum 1 value for symptomatic presentations; NULL permitted for incidental/screening-detected asymptomatic cases.

Constraints / Possible Values
Cough | Dyspnoea | Chest pain | Haemoptysis | Weight loss | Appetite loss / anorexia | Fatigue | Hoarseness | Bone pain | Finger clubbing | Supraclavicular lymphadenopathy | Incidental finding (asymptomatic) | Other",SNOMED CT | ICD-10 | OMOP CDM | HL7 FHIR (structural),ClinicalPresentation,1:N - Multiple symptoms may be coded per presentation,ALWAYS,CLINICAL-SENSITIVE,High,High
6,Bucket 1 - Clinical Context and Administration,Smoking status,Enum / Coded (SNOMED CT),"Enum. NHS SMOKING STATUS CODE: 1=Current smoker | 2=Ex-smoker | 3=Non-smoker - history unknown | 4=Never smoked | Z=Not stated (asked but declined) | 9=Unknown (not recorded). Mapped enum: Current_smoker (1) | Former_smoker (2) | Non_smoker_unknown_history (3) | Never_smoked (4) | Not_stated (Z) | Unknown (9)

LONC 72166-2 SNOMED CT value set includes: 'Never smoked tobacco' (266919005) | 'Ex-smoker' (8517006) | 'Current smoker' (77176002) and subdivisions by amount and type.

Constraints / Possible Values
Lifelong Non-smoker / Current reformed smoker for >= 15 years / Current reformed smoker for < 15 years / Current smoker / Former smoker / Not reported | NHS SMOKING STATUS CODE: 1=Current smoker | 2=Ex-smoker | 3=Non-smoker - history unknown | 4=Never smoked | Z=Not stated | 9=Unknown",SNOMED CT | LOINC | OMOP CDM | HL7 FHIR (structural) | NHS Data Dictionary,ClinicalPresentation,1:1 - One smoking status per patient at assessment,ALWAYS,CLINICAL-SENSITIVE,High,High
7,Bucket 1 - Clinical Context and Administration,Pack-year history,Float (decimal pack-years; 1 pack-year = 20 cigarettes/day for 1 year),"Type: Float (decimal pack-years). Range: 0.0–200.0 (theoretical max). 1 pack-year = 20 cigarettes/day × 365 days. NULL/0 expected for never-smokers.

Constraints / Possible Values
Type: float | Min: 0 | Max: 120+ | Unit: pack-years (cigarettes/day × years smoked / 20) ",SNOMED CT | LOINC | OMOP CDM | HL7 FHIR (structural),ClinicalPresentation,1:1 - One pack-year value per patient,CONDITIONAL,CLINICAL-SENSITIVE,High,High
8,Bucket 1 - Clinical Context and Administration,Family history (cancer / lung cancer),"Boolean + Coded (relationship type, cancer type, age at diagnosis)","Compound: family_history_flag (Boolean: True/False/Unknown) + relationship (Enum: Father/Mother/Sibling/Child/Second-degree/Grandparent) + cancer_type (cancer site) + age_at_diagnosis_in_relative (Integer years, 0–100) + number_of_affected_relatives (Integer).

Constraints / Possible Values
Boolean (has_family_history): true/false | Relationship: mother/father/sibling/child/grandparent/second-degree relative | Cancer type: lung cancer / colorectal / breast / other | Age at diagnosis: integer (years)",SNOMED CT | ICD-10 | OMOP CDM | HL7 FHIR (structural),ClinicalPresentation,1:N - Multiple family history entries possible (by relative and cancer type),ALWAYS,CLINICAL-SENSITIVE,Medium,High
9,Bucket 1 - Clinical Context and Administration,ECOG performance status,"Integer (ordinal scale, 0–5)","Type: Integer. Allowed values ONLY: 0 | 1 | 2 | 3 | 4 | 5. 0=Fully active; 1=Restricted strenuous activity but ambulatory; 2=Ambulatory and capable of all self-care but unable to carry out any work activities; up and about more than 50% of waking hours; 3=Capable of only limited self-care; confined to bed or chair more than 50% of waking hours; 4=Completely disabled; cannot carry on any self-care; totally confined to bed or chair; 5=Dead. 

Constraints / Possible Values
0 (Fully active) / 1 (Restricted but ambulatory) / 2 (Ambulatory, self-care only, up >50% waking hours) / 3 (Limited self-care, bed/chair >50% waking hours) / 4 (Completely disabled)",SNOMED CT | LOINC | OMOP CDM | HL7 FHIR (structural),ClinicalPresentation,1:N - ECOG may be re-assessed at multiple timepoints,GATEWAY,CLINICAL-SENSITIVE,High,High
10,Bucket 1 - Clinical Context and Administration,Risk stratification score,Float (probability 0.00–1.00) with algorithm identifier,"Type: Float (probability). Range: 0.00–1.00. Must include Algorithm_Identifier (Enum: PLCOm2012 | LLPv2 | LLPv3 | Brock | USPSTF2021 | Other)

Constraints / Possible Values
Type: float | Min: 0 | Max: 1.0 | Unit: probability | PLCOm2012 threshold: ≥1.51% (6-year risk) | LLPv2 threshold: ≥2.5% (5-year risk) | Either threshold qualifying triggers LDCT screening",SNOMED CT | LOINC | OMOP CDM | HL7 FHIR (structural),ClinicalPresentation,1:1 - One risk score per screening episode,CONDITIONAL,CLINICAL-SENSITIVE,High,Medium
